"","ID","Question","Response","value"
"1","2919","Q08post","mass X volume",0
"2","4022","Q08post","mass X volume",0
"3","4219","Q08post","mass/volume",1
"4","4224","Q08post","mass/volume",1
"5","4229","Q08post","mass/volume",1
"6","4230","Q08post","mass/volume",1
"7","4232","Q08post","mass/volume",1
"8","4235","Q08post","mass/volume",1
"9","4236","Q08post","volume/mass",0
"10","4240","Q08post","mass/volume",1
"11","4241","Q08post","mass/volume",1
"12","4242","Q08post","volume/mass",0
"13","4243","Q08post","mass/volume",1
"14","4244","Q08post","mass/volume",1
"15","4245","Q08post","mass/volume",1
"16","4246","Q08post","mass/volume",1
"17","4247","Q08post","mass/volume",1
"18","4248","Q08post","mass/volume",1
"19","4249","Q08post","mass/volume",1
"20","4250","Q08post","mass/volume",1
"21","4251","Q08post","mass/volume",1
"22","4254","Q08post","mass/volume",1
"23","4257","Q08post","mass/volume",1
"24","4258","Q08post","mass/volume",1
"25","4259","Q08post","mass/volume",1
"26","4260","Q08post","mass/volume",1
"27","4261","Q08post","mass/volume",1
"28","4262","Q08post","mass X volume",0
"29","4264","Q08post","mass/volume",1
"30","4267","Q08post","mass/volume",1
"31","4268","Q08post","mass/volume",1
"32","4269","Q08post","mass/volume",1
"33","4271","Q08post","mass/volume",1
"34","4272","Q08post","mass/volume",1
"35","4273","Q08post","mass/volume",1
"36","4274","Q08post","mass/volume",1
"37","4275","Q08post","mass/volume",1
"38","4276","Q08post","mass/volume",1
"39","4277","Q08post","mass/volume",1
"40","4278","Q08post","mass/volume",1
"41","4279","Q08post","mass/volume",1
"42","4281","Q08post","mass/volume",1
"43","4282","Q08post","mass/volume",1
"44","4283","Q08post","mass/volume",1
"45","4284","Q08post","mass/volume",1
"46","4285","Q08post","mass/volume",1
"47","4286","Q08post","mass/volume",1
"48","4287","Q08post","volume/mass",0
"49","4288","Q08post","mass/volume",1
"50","4289","Q08post","mass/volume",1
"51","4290","Q08post","mass/volume",1
"52","4291","Q08post","mass/volume",1
"53","4293","Q08post","volume/mass",0
"54","4294","Q08post","mass/volume",1
"55","4295","Q08post","mass/volume",1
"56","4297","Q08post","mass/volume",1
"57","4299","Q08post","mass/volume",1
"58","4300","Q08post","mass/volume",1
"59","4301","Q08post","mass/volume",1
"60","4302","Q08post","volume/mass",0
"61","4304","Q08post","mass/volume",1
"62","4305","Q08post","mass/volume",1
"63","4306","Q08post","volume/mass",0
"64","4309","Q08post","mass/volume",1
"65","4310","Q08post","mass/volume",1
"66","4313","Q08post","mass/volume",1
"67","4314","Q08post","mass/volume",1
"68","4315","Q08post","mass/volume",1
"69","4316","Q08post","mass/volume",1
"70","4318","Q08post","mass/volume",1
"71","4319","Q08post","mass/volume",1
"72","4321","Q08post","mass X volume",0
"73","4322","Q08post","mass/volume",1
"74","4323","Q08post","mass/volume",1
"75","4324","Q08post","mass/volume",1
"76","4326","Q08post","mass/volume",1
"77","4327","Q08post","mass/volume",1
"78","4328","Q08post","mass/volume",1
"79","4333","Q08post","mass/volume",1
"80","4334","Q08post","volume/mass",0
"81","4335","Q08post","mass/volume",1
"82","4339","Q08post","mass/volume",1
"83","4341","Q08post","mass/volume",1
"84","4342","Q08post","mass/volume",1
"85","4343","Q08post","mass/volume",1
"86","4344","Q08post","mass/volume",1
"87","4347","Q08post","mass/volume",1
"88","4348","Q08post","mass/volume",1
"89","4350","Q08post","mass/volume",1
"90","4352","Q08post","mass/volume",1
"91","4353","Q08post","mass/volume",1
"92","4355","Q08post","mass/volume",1
"93","4356","Q08post","mass/volume",1
"94","4357","Q08post","mass/volume",1
"95","4359","Q08post","mass/volume",1
"96","4360","Q08post","mass/volume",1
"97","4362","Q08post","mass/volume",1
"98","4363","Q08post","mass/volume",1
"99","4364","Q08post","mass/volume",1
"100","4367","Q08post","mass/volume",1
"101","4368","Q08post","mass/volume",1
"102","4371","Q08post","volume/mass",0
"103","4372","Q08post","volume/mass",0
"104","4373","Q08post","mass/volume",1
"105","4374","Q08post","mass/volume",1
